iter	MultiClass
0	1.095410062
1	1.090652992
2	1.086342806
3	1.082129353
4	1.080058296
5	1.077697483
6	1.074834302
7	1.073248643
8	1.069939677
9	1.066773689
10	1.065278031
11	1.061936713
12	1.05951429
13	1.057610628
14	1.055424934
15	1.053821079
16	1.051578884
17	1.048553862
18	1.04533866
19	1.042774024
20	1.039714917
21	1.036679953
22	1.033614677
23	1.031049165
24	1.028713686
25	1.025749737
26	1.023697388
27	1.020840527
28	1.018744533
29	1.01615652
30	1.013768099
31	1.01062614
32	1.007796336
33	1.005157897
34	1.003748651
35	1.00137578
36	0.998068763
37	0.9965223598
38	0.9942810792
39	0.9932347214
40	0.9907940039
41	0.9885463091
42	0.9874271369
43	0.9844833016
44	0.9838015817
45	0.9823758338
46	0.9800820114
47	0.9778353167
48	0.9763046666
49	0.9729438936
50	0.9712803978
51	0.9695573284
52	0.9665423652
53	0.9643157665
54	0.9623699583
55	0.9604720289
56	0.9584475694
57	0.9568104593
58	0.9548227571
59	0.9529240563
60	0.9511574793
61	0.9491465966
62	0.9471199242
63	0.9455784795
64	0.9429541134
65	0.9412775761
66	0.9397603462
67	0.9389398466
68	0.9374847147
69	0.9347773452
70	0.9337664002
71	0.9308837038
72	0.9292891097
73	0.9266446173
74	0.9247939716
75	0.9236332385
76	0.9225497066
77	0.920083128
78	0.9184063544
79	0.9174256882
80	0.9165310534
81	0.9153397396
82	0.9136562902
83	0.9119960751
84	0.9092760002
85	0.9064226416
86	0.9049751862
87	0.9037092477
88	0.9013426963
89	0.897990835
90	0.8969168751
91	0.8956733243
92	0.8934337139
93	0.8920867457
94	0.8899685704
95	0.8868734758
96	0.885832975
97	0.884683362
98	0.8831642603
99	0.8823906318
