iter	Passed	Remaining
0	164	16251
1	187	9182
2	208	6735
3	224	5389
4	244	4645
5	261	4095
6	279	3717
7	299	3441
8	336	3399
9	354	3194
10	373	3018
11	388	2847
12	404	2710
13	424	2609
14	445	2523
15	467	2453
16	489	2388
17	508	2317
18	529	2257
19	553	2212
20	569	2143
21	595	2111
22	614	2055
23	645	2042
24	673	2021
25	692	1970
26	711	1923
27	743	1910
28	764	1870
29	779	1817
30	795	1770
31	815	1733
32	836	1697
33	861	1672
34	879	1633
35	895	1592
36	912	1554
37	933	1522
38	953	1490
39	975	1463
40	992	1428
41	1022	1412
42	1038	1376
43	1056	1344
44	1087	1328
45	1105	1298
46	1124	1267
47	1143	1238
48	1163	1211
49	1179	1179
50	1197	1150
51	1217	1123
52	1233	1093
53	1252	1066
54	1271	1040
55	1292	1015
56	1311	989
57	1330	963
58	1354	941
59	1374	916
60	1394	891
61	1413	866
62	1438	844
63	1470	826
64	1487	800
65	1506	776
66	1524	751
67	1542	725
68	1557	699
69	1579	676
70	1597	652
71	1621	630
72	1636	605
73	1651	580
74	1670	556
75	1695	535
76	1710	510
77	1731	488
78	1755	466
79	1780	445
80	1803	423
81	1821	399
82	1844	377
83	1868	355
84	1886	332
85	1904	310
86	1922	287
87	1944	265
88	1969	243
89	1991	221
90	2016	199
91	2033	176
92	2051	154
93	2083	132
94	2109	111
95	2132	88
96	2153	66
97	2175	44
98	2191	22
99	2208	0
